Year,Attribute,Value
2012,Crops output: Feed crops,0.78622122
2012,Crops output: Oil crops,0.783497877
2012,Crops output: Vegetables and melons,1.007676559
2012,Crops output: Fruits and nuts,1.007029898
2012,Crops output: Other crops,1.142438974
2012,Farm-related output,1.157818303
2012,Farm inputs: Total ,0.941530437
2012,Capital inputs: Total,0.968158546
2012,Capital inputs: Durable equipment,0.829467123
2012,Capital inputs: Service buildings,1.017942795
2012,Capital inputs: Land,1.003995745
2012,Capital inputs: Inventories,1.039525307
2012,Labor inputs: Total,0.931639023
2012,Labor inputs: Hired labor,0.926298806
2012,Labor inputs: Self-employed and unpaid family workers,0.934689931
2012,Intermediate inputs: Total,0.92923899
2012,Intermediate inputs: Feed and seed,0.909658526
2012,Intermediate inputs: Energy,0.856691859
2012,Intermediate inputs: Fertilizer and lime,0.868629801
2012,Intermediate inputs: Pesticides,0.86692425
2012,Intermediate inputs: Purchased services,1.023328171
2012,Intermediate inputs: Other intermediate inputs,1.064069369
2012,Total factor productivity (TFP),0.988633252
2013,Total agricultural output,0.996981136
2013,Livestock and products output: Total,0.962041667
2013,Livestock and products output: Meat animals,0.983705564
2013,Livestock and products output: Dairy,0.964912112
2013,Livestock and products output: Poultry and eggs,0.958881191
2013,Crops output: Total,0.995102114
2013,Crops output: Food grains,1.02594739
2013,Crops output: Feed crops,0.975463416
2013,Crops output: Oil crops,0.859285532
2013,Crops output: Vegetables and melons,0.985467771
2013,Crops output: Fruits and nuts,1.053182183
2013,Crops output: Other crops,1.209037255
2013,Farm-related output,1.17322117
2013,Farm inputs: Total ,0.947523619
2013,Capital inputs: Total,0.976520789
2013,Capital inputs: Durable equipment,0.886590267
2013,Capital inputs: Service buildings,1.007867197
2013,Capital inputs: Land,1.003251015
2013,Capital inputs: Inventories,0.938742509
2013,Labor inputs: Total,0.940141324
2013,Labor inputs: Hired labor,0.960631769
2013,Labor inputs: Self-employed and unpaid family workers,0.928029981
2013,Intermediate inputs: Total,0.933652147
2013,Intermediate inputs: Feed and seed,0.900599015
2013,Intermediate inputs: Energy,0.918512763
2013,Intermediate inputs: Fertilizer and lime,1.005006393
2013,Intermediate inputs: Pesticides,0.895073468
2013,Intermediate inputs: Purchased services,0.966924579
2013,Intermediate inputs: Other intermediate inputs,0.996966924
2013,Total factor productivity (TFP),1.052196606
2014,Total agricultural output,0.997233824
2014,Livestock and products output: Total,0.968334495
2014,Livestock and products output: Meat animals,0.965410803
2014,Livestock and products output: Dairy,0.988218911
2014,Livestock and products output: Poultry and eggs,0.972310849
2014,Crops output: Total,1.008412784
2014,Crops output: Food grains,1.012854996
2014,Crops output: Feed crops,1.006105701
2014,Crops output: Oil crops,0.978709117
2014,Crops output: Vegetables and melons,0.989618301
2014,Crops output: Fruits and nuts,1.029258944
2014,Crops output: Other crops,1.04448466
2014,Farm-related output,1.064423808
2014,Farm inputs: Total ,0.996799675
2014,Capital inputs: Total,0.987637737
2014,Capital inputs: Durable equipment,0.94046688
2014,Capital inputs: Service buildings,1.002008604
2014,Capital inputs: Land,1.001954239
2014,Capital inputs: Inventories,1.004754888
2014,Labor inputs: Total,0.902975618
2014,Labor inputs: Hired labor,0.965281916
2014,Labor inputs: Self-employed and unpaid family workers,0.866037193
2014,Intermediate inputs: Total,1.030864915
2014,Intermediate inputs: Feed and seed,1.004532945
2014,Intermediate inputs: Energy,0.940866218
2014,Intermediate inputs: Fertilizer and lime,1.0026468
2014,Intermediate inputs: Pesticides,1.150944624
2014,Intermediate inputs: Purchased services,1.084628494
2014,Intermediate inputs: Other intermediate inputs,1.120109314
2014,Total factor productivity (TFP),1.000435543
2015,Total agricultural output,1
2015,Livestock and products output: Total,1
2015,Livestock and products output: Meat animals,1
2015,Livestock and products output: Dairy,1
2015,Livestock and products output: Poultry and eggs,1
2015,Crops output: Total,1
2015,Crops output: Food grains,1
2015,Crops output: Feed crops,1
2015,Crops output: Oil crops,1
2015,Crops output: Vegetables and melons,1
2015,Crops output: Fruits and nuts,1
2015,Crops output: Other crops,1
2015,Farm-related output,1
2015,Farm inputs: Total ,1
2015,Capital inputs: Total,1
2015,Capital inputs: Durable equipment,1
2015,Capital inputs: Service buildings,1
2015,Capital inputs: Land,1
2015,Capital inputs: Inventories,1
2015,Labor inputs: Total,1
2015,Labor inputs: Hired labor,1
2015,Labor inputs: Self-employed and unpaid family workers,1
2015,Intermediate inputs: Total,1
2015,Intermediate inputs: Feed and seed,1
2015,Intermediate inputs: Energy,1
2015,Intermediate inputs: Fertilizer and lime,1
2015,Intermediate inputs: Pesticides,1
2015,Intermediate inputs: Purchased services,1
2015,Intermediate inputs: Other intermediate inputs,1
2015,Total factor productivity (TFP),1
2016,Total agricultural output,1.028252866
2016,Livestock and products output: Total,1.059050675
2016,Livestock and products output: Meat animals,1.052078567
2016,Livestock and products output: Dairy,1.018893108
2016,Livestock and products output: Poultry and eggs,1.019666218
2016,Crops output: Total,1.044587041
2016,Crops output: Food grains,1.128114693
2016,Crops output: Feed crops,1.060516667
2016,Crops output: Oil crops,1.082993357
2016,Crops output: Vegetables and melons,0.952500881
2016,Crops output: Fruits and nuts,0.987693734
2016,Crops output: Other crops,1.040065881
2016,Farm-related output,0.818232676
2016,Farm inputs: Total ,0.989245191
2016,Capital inputs: Total,1.006097298
2016,Capital inputs: Durable equipment,0.999180633
2016,Capital inputs: Service buildings,0.990991438
2016,Capital inputs: Land,1.010410433
2016,Capital inputs: Inventories,1.016977557
2016,Labor inputs: Total,1.013159945
2016,Labor inputs: Hired labor,1.051174784
2016,Labor inputs: Self-employed and unpaid family workers,0.99050797
2016,Intermediate inputs: Total,0.974743127
2016,Intermediate inputs: Feed and seed,1.004017324
2016,Intermediate inputs: Energy,1.042556103
2016,Intermediate inputs: Fertilizer and lime,0.767160232
2016,Intermediate inputs: Pesticides,1.04109589
2016,Intermediate inputs: Purchased services,0.990531583
2016,Intermediate inputs: Other intermediate inputs,0.916261449
2016,Total factor productivity (TFP),1.039431756
2017,Total agricultural output,1.018106214
2017,Livestock and products output: Total,1.054186234
2017,Livestock and products output: Meat animals,1.092367261
2017,Livestock and products output: Dairy,1.03372427
2017,Livestock and products output: Poultry and eggs,1.04436486
2017,Crops output: Total,1.012610942
2017,Crops output: Food grains,0.860429687
2017,Crops output: Feed crops,1.012082918
2017,Crops output: Oil crops,1.125213143
2017,Crops output: Vegetables and melons,0.883656618
2017,Crops output: Fruits and nuts,0.922382213
2017,Crops output: Other crops,1.099206125
2017,Farm-related output,0.906691709
2017,Farm inputs: Total ,0.980836696
2017,Capital inputs: Total,0.987085939
2017,Capital inputs: Durable equipment,0.979482326
2017,Capital inputs: Service buildings,0.978831079
2017,Capital inputs: Land,0.990204877
2017,Capital inputs: Inventories,1.001931182
2017,Labor inputs: Total,0.962226264
2017,Labor inputs: Hired labor,1.016105485
2017,Labor inputs: Self-employed and unpaid family workers,0.929956261
2017,Intermediate inputs: Total,0.984187021
2017,Intermediate inputs: Feed and seed,1.047867644
2017,Intermediate inputs: Energy,0.996728213
2017,Intermediate inputs: Fertilizer and lime,0.696668661
2017,Intermediate inputs: Pesticides,1.074262925
2017,Intermediate inputs: Purchased services,0.994477972
2017,Intermediate inputs: Other intermediate inputs,0.917449858
2017,Total factor productivity (TFP),1.037997679
2018,Total agricultural output,1.006015534
2018,Livestock and products output: Total,1.051579154
2018,Livestock and products output: Meat animals,1.079066142
2018,Livestock and products output: Dairy,1.043438247
2018,Livestock and products output: Poultry and eggs,1.0691433
2018,Crops output: Total,1.006371238
2018,Crops output: Food grains,0.961247768
2018,Crops output: Feed crops,0.989428704
2018,Crops output: Oil crops,1.123626293
2018,Crops output: Vegetables and melons,0.861649669
2018,Crops output: Fruits and nuts,0.921242339
2018,Crops output: Other crops,1.094512278
2018,Farm-related output,0.829093927
2018,Farm inputs: Total ,0.959688848
2018,Capital inputs: Total,0.985535178
2018,Capital inputs: Durable equipment,0.97841484
2018,Capital inputs: Service buildings,0.976177918
2018,Capital inputs: Land,0.98898813
2018,Capital inputs: Inventories,0.991062052
2018,Labor inputs: Total,0.949506908
2018,Labor inputs: Hired labor,1.031204751
2018,Labor inputs: Self-employed and unpaid family workers,0.900357983
2018,Intermediate inputs: Total,0.952717782
2018,Intermediate inputs: Feed and seed,0.992809879
2018,Intermediate inputs: Energy,0.932645998
2018,Intermediate inputs: Fertilizer and lime,0.713314359
2018,Intermediate inputs: Pesticides,1.040349143
2018,Intermediate inputs: Purchased services,0.988234761
2018,Intermediate inputs: Other intermediate inputs,0.886236817
2018,Total factor productivity (TFP),1.04827261
2019,Total agricultural output,0.975283555
2019,Livestock and products output: Total,1.055304107
2019,Livestock and products output: Meat animals,1.132220298
2019,Livestock and products output: Dairy,1.047620654
2019,Livestock and products output: Poultry and eggs,1.091173993
2019,Crops output: Total,0.923702466
2019,Crops output: Food grains,0.940175041
2019,Crops output: Feed crops,0.970823157
2019,Crops output: Oil crops,0.921038636
2019,Crops output: Vegetables and melons,0.801443537
2019,Crops output: Fruits and nuts,0.92879718
2019,Crops output: Other crops,0.868981253
2019,Farm-related output,0.954712066
2019,Farm inputs: Total ,0.994858524
2019,Capital inputs: Total,0.976766639
2019,Capital inputs: Durable equipment,0.960998748
2019,Capital inputs: Service buildings,0.956080452
2019,Capital inputs: Land,0.9867798
2019,Capital inputs: Inventories,0.958986776
2019,Labor inputs: Total,1.172293212
2019,Labor inputs: Hired labor,1.301212225
2019,Labor inputs: Self-employed and unpaid family workers,1.095241757
2019,Intermediate inputs: Total,0.953389316
2019,Intermediate inputs: Feed and seed,1.01199975
2019,Intermediate inputs: Energy,0.953686216
2019,Intermediate inputs: Fertilizer and lime,0.66417274
2019,Intermediate inputs: Pesticides,1.044258993
2019,Intermediate inputs: Purchased services,0.977321449
2019,Intermediate inputs: Other intermediate inputs,0.884913558
2019,Total factor productivity (TFP),0.980323867
2020,Total agricultural output,1.022108349
2020,Livestock and products output: Total,1.060271507
2020,Livestock and products output: Meat animals,1.100455564
2020,Livestock and products output: Dairy,1.070802174
2020,Livestock and products output: Poultry and eggs,1.112569782
2020,Crops output: Total,1.001466488
2020,Crops output: Food grains,0.946773389
2020,Crops output: Feed crops,0.993558514
2020,Crops output: Oil crops,1.075144314
2020,Crops output: Vegetables and melons,0.811237585
2020,Crops output: Fruits and nuts,0.991579503
2020,Crops output: Other crops,1.097457091
2020,Farm-related output,0.975070492
2020,Farm inputs: Total ,0.995372881
2020,Capital inputs: Total,0.968767128
2020,Capital inputs: Durable equipment,0.942146484
2020,Capital inputs: Service buildings,0.943233553
2020,Capital inputs: Land,0.985726398
2020,Capital inputs: Inventories,0.950181725
2020,Labor inputs: Total,1.162185796
2020,Labor inputs: Hired labor,1.298871915
2020,Labor inputs: Self-employed and unpaid family workers,1.080814174
2020,Intermediate inputs: Total,0.95931658
2020,Intermediate inputs: Feed and seed,0.988789196
2020,Intermediate inputs: Energy,1.034150878
2020,Intermediate inputs: Fertilizer and lime,0.669166057
2020,Intermediate inputs: Pesticides,0.982417978
2020,Intermediate inputs: Purchased services,1.021469221
2020,Intermediate inputs: Other intermediate inputs,0.929638086
2020,Total factor productivity (TFP),1.026859751
2021,Total agricultural output,1.019668009
2021,Livestock and products output: Total,1.082865592
2021,Livestock and products output: Meat animals,1.084178605
2021,Livestock and products output: Dairy,1.085411688
2021,Livestock and products output: Poultry and eggs,1.090765529
2021,Crops output: Total,1.004935329
2021,Crops output: Food grains,0.839187513
2021,Crops output: Feed crops,1.026246161
2021,Crops output: Oil crops,1.126398078
2021,Crops output: Vegetables and melons,0.707368961
2021,Crops output: Fruits and nuts,0.946865596
2021,Crops output: Other crops,1.115372678
2021,Farm-related output,0.853855668
2021,Farm inputs: Total ,0.930427633
2021,Capital inputs: Total,0.967298206
2021,Capital inputs: Durable equipment,0.936549776
2021,Capital inputs: Service buildings,0.926852685
2021,Capital inputs: Land,0.983558318
2021,Capital inputs: Inventories,0.944638057
2021,Labor inputs: Total,0.97331277
2021,Labor inputs: Hired labor,0.941217465
2021,Labor inputs: Self-employed and unpaid family workers,1.003264176
2021,Intermediate inputs: Total,0.903024583
2021,Intermediate inputs: Feed and seed,0.923198489
2021,Intermediate inputs: Energy,0.925690175
2021,Intermediate inputs: Fertilizer and lime,0.617970535
2021,Intermediate inputs: Pesticides,1.059323825
2021,Intermediate inputs: Purchased services,0.962514791
2021,Intermediate inputs: Other intermediate inputs,0.872286365
2021,Total factor productivity (TFP),1.095913291
